Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K1,16842,0,5,5.476352221589752,3.3306759996776236,155.6968169998072,0.0,28.098192098284095,0.0,5,5,6,6,7,7,9,12,35,160,160
,Aggregated,16842,0,5,5.476352221589752,3.3306759996776236,155.6968169998072,0.0,28.098192098284095,0.0,5,5,6,6,7,7,9,12,35,160,160
