Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K100,3229,3229,1200.0,1502.5095560498698,812.5130290000016,21563.816005999797,0.0,5.393062719061766,5.393062719061766,1200,1300,1400,1500,2000,2200,2500,5600,21000,22000,22000
,Aggregated,3229,3229,1200.0,1502.5095560498698,812.5130290000016,21563.816005999797,0.0,5.393062719061766,5.393062719061766,1200,1300,1400,1500,2000,2200,2500,5600,21000,22000,22000
