Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K100,13077,10,93,104.21467103158278,32.291485000314424,1099.0226619996974,0.0,21.832336740789884,0.016695218124026828,93,110,120,130,160,180,220,270,840,1100,1100
,Aggregated,13077,10,93,104.21467103158278,32.291485000314424,1099.0226619996974,0.0,21.832336740789884,0.016695218124026828,93,110,120,130,160,180,220,270,840,1100,1100
