Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K25,6622,6622,510.0,553.241256426609,500.83885400090367,5244.523449997359,0.0,11.050409966999704,11.050409966999704,510,510,510,580,620,680,1000,1000,4400,5200,5200
,Aggregated,6622,6622,510.0,553.241256426609,500.83885400090367,5244.523449997359,0.0,11.050409966999704,11.050409966999704,510,510,510,580,620,680,1000,1000,4400,5200,5200
