Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K100,4558,1535,950.0,955.7137931693779,550.6797199996072,2272.996862000582,0.0,7.6113206240234055,2.5632683540754555,950,1000,1000,1100,1100,1200,1400,1600,2100,2300,2300
,Aggregated,4558,1535,950.0,955.7137931693779,550.6797199996072,2272.996862000582,0.0,7.6113206240234055,2.5632683540754555,950,1000,1000,1100,1100,1200,1400,1600,2100,2300,2300
