Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K50,8669,0,350.0,330.05964775579804,61.6315150000446,938.744074999704,0.0,14.456564102337966,0.0,350,410,430,450,480,510,540,580,930,940,940
,Aggregated,8669,0,350.0,330.05964775579804,61.6315150000446,938.744074999704,0.0,14.456564102337966,0.0,350,410,430,450,480,510,540,580,930,940,940
