k,condition,run,outcome,count,path
50,"Latency 100ms, jitter 30ms",run_03,timeout_or_slo_miss,1046,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/latency_100ms_j50ms/run_03
75,"Latency 100ms, jitter 30ms",run_01,subread_error,379,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_01
75,"Latency 100ms, jitter 30ms",run_01,timeout_or_slo_miss,3627,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_01
75,"Latency 100ms, jitter 30ms",run_02,subread_error,253,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_02
75,"Latency 100ms, jitter 30ms",run_02,timeout_or_slo_miss,3387,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_02
75,"Latency 100ms, jitter 30ms",run_03,subread_error,343,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_03
75,"Latency 100ms, jitter 30ms",run_03,timeout_or_slo_miss,3567,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/latency_100ms_j50ms/run_03
100,"Latency 100ms, jitter 30ms",run_01,subread_error,1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_01
100,"Latency 100ms, jitter 30ms",run_01,timeout_or_slo_miss,3209,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_01
100,"Latency 100ms, jitter 30ms",run_02,timeout_or_slo_miss,3080,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_02
100,"Latency 100ms, jitter 30ms",run_03,subread_error,1,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_03
100,"Latency 100ms, jitter 30ms",run_03,timeout_or_slo_miss,3233,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_100/latency_100ms_j50ms/run_03
1,Packet loss 1% / 25,run_01,ok,16813,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/packetloss_1percent_25/run_01
1,Packet loss 1% / 25,run_02,ok,16913,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/packetloss_1percent_25/run_02
1,Packet loss 1% / 25,run_03,ok,16825,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_001/packetloss_1percent_25/run_03
25,Packet loss 1% / 25,run_01,ok,1559,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_01
25,Packet loss 1% / 25,run_01,subread_error,6091,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_01
25,Packet loss 1% / 25,run_01,timeout_or_slo_miss,116,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_01
25,Packet loss 1% / 25,run_02,ok,6169,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_02
25,Packet loss 1% / 25,run_02,subread_error,3991,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_02
25,Packet loss 1% / 25,run_02,timeout_or_slo_miss,129,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_02
25,Packet loss 1% / 25,run_03,subread_error,6452,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_03
25,Packet loss 1% / 25,run_03,timeout_or_slo_miss,308,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_025/packetloss_1percent_25/run_03
50,Packet loss 1% / 25,run_01,ok,6969,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_01
50,Packet loss 1% / 25,run_01,subread_error,2669,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_01
50,Packet loss 1% / 25,run_01,timeout_or_slo_miss,457,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_01
50,Packet loss 1% / 25,run_02,ok,4284,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_02
50,Packet loss 1% / 25,run_02,subread_error,3763,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_02
50,Packet loss 1% / 25,run_02,timeout_or_slo_miss,582,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_02
50,Packet loss 1% / 25,run_03,ok,2977,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_03
50,Packet loss 1% / 25,run_03,subread_error,3738,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_03
50,Packet loss 1% / 25,run_03,timeout_or_slo_miss,1037,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_050/packetloss_1percent_25/run_03
75,Packet loss 1% / 25,run_01,ok,2573,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_01
75,Packet loss 1% / 25,run_01,subread_error,405,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_01
75,Packet loss 1% / 25,run_01,timeout_or_slo_miss,3126,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_01
75,Packet loss 1% / 25,run_02,ok,2741,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_02
75,Packet loss 1% / 25,run_02,subread_error,471,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/k_075/packetloss_1percent_25/run_02
