k,condition,run,outcome,count,path
75,"Latency 100ms, jitter 30ms",run_2,timeout_or_slo_miss,25,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/latency_100ms_j50ms/run_2
75,"Latency 100ms, jitter 30ms",run_3,ok,5146,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/latency_100ms_j50ms/run_3
75,"Latency 100ms, jitter 30ms",run_3,timeout_or_slo_miss,311,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_075/latency_100ms_j50ms/run_3
100,"Latency 100ms, jitter 30ms",run_1,ok,2980,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_1
100,"Latency 100ms, jitter 30ms",run_1,timeout_or_slo_miss,1551,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_1
100,"Latency 100ms, jitter 30ms",run_2,ok,3026,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_2
100,"Latency 100ms, jitter 30ms",run_2,timeout_or_slo_miss,1541,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_2
100,"Latency 100ms, jitter 30ms",run_3,ok,2628,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_3
100,"Latency 100ms, jitter 30ms",run_3,timeout_or_slo_miss,1855,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_100/latency_100ms_j50ms/run_3
1,Packet loss 1% / 25,run_01,ok,16858,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/packetloss_1percent_25/run_01
1,Packet loss 1% / 25,run_02,ok,16869,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/packetloss_1percent_25/run_02
1,Packet loss 1% / 25,run_03,ok,16926,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_001/packetloss_1percent_25/run_03
25,Packet loss 1% / 25,run_1,ok,19574,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/packetloss_1percent_25/run_1
25,Packet loss 1% / 25,run_2,ok,19978,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/packetloss_1percent_25/run_2
25,Packet loss 1% / 25,run_3,ok,19965,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_025/packetloss_1percent_25/run_3
50,Packet loss 1% / 25,run_1,ok,8644,/Users/andrewjones/Projects/masters-dissertation-project/scripts/riak/data_extraction/experiments/riak/k_050/packetloss_1percent_25/run_1
