Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K25,7758,6200,500.0,420.69083041428576,9.047630000168283,4256.424785000036,0.0,12.95098961176252,10.350107707260586,500,510,510,510,510,510,530,1000,2600,4300,4300
,Aggregated,7758,6200,500.0,420.69083041428576,9.047630000168283,4256.424785000036,0.0,12.95098961176252,10.350107707260586,500,510,510,510,510,510,530,1000,2600,4300,4300
