Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
FANOUT,K50,8616,0,360.0,334.4196378233651,62.34417299856432,841.8044630016084,0.0,14.384531828564278,0.0,360,410,440,450,490,510,550,570,780,840,840
,Aggregated,8616,0,360.0,334.4196378233651,62.34417299856432,841.8044630016084,0.0,14.384531828564278,0.0,360,410,440,450,490,510,550,570,780,840,840
