Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772119406,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772119407,10,,Aggregated,0.000000,0.000000,680,690,690,700,720,720,720,720,720,720,720,10,0,670.0,670.6426706999991,607.4374410000019,716.7859569999564,0.0
1772119408,10,,Aggregated,0.000000,0.000000,490,650,670,680,690,700,720,720,720,720,720,23,0,490.0,508.0935573042829,275.36502000020846,716.7859569999564,0.0
1772119409,10,,Aggregated,0.000000,0.000000,400,430,610,650,690,700,720,720,720,720,720,40,0,400.0,445.5672669999103,275.36502000020846,716.7859569999564,0.0
1772119410,10,,Aggregated,5.000000,0.000000,370,410,490,500,670,690,700,720,720,720,720,54,0,360.0,414.2817723703013,250.83595199976116,716.7859569999564,0.0
1772119411,10,,Aggregated,9.333333,0.000000,350,400,430,490,660,690,700,720,720,720,720,69,0,350.0,397.7248362753412,250.83595199976116,716.7859569999564,0.0
1772119412,10,,Aggregated,10.000000,0.000000,340,380,410,430,630,680,700,720,720,720,720,81,0,340.0,389.2416722839339,250.83595199976116,716.7859569999564,0.0
1772119413,10,,Aggregated,11.400000,0.000000,350,400,410,430,610,680,700,720,720,720,720,95,0,350.0,390.1592755473566,250.83595199976116,716.7859569999564,0.0
1772119414,10,,Aggregated,11.833333,0.000000,350,400,410,430,560,670,690,700,720,720,720,109,0,350.0,389.6465604036892,250.83595199976116,716.7859569999564,0.0
1772119415,10,,Aggregated,11.714286,0.000000,350,380,410,430,500,660,690,700,720,720,720,121,0,350.0,385.9071736694377,250.83595199976116,716.7859569999564,0.0
1772119416,10,,Aggregated,12.000000,0.000000,350,390,410,420,500,660,690,700,720,720,720,136,0,350.0,384.1029994632596,250.83595199976116,716.7859569999564,0.0
1772119417,10,,Aggregated,12.333333,0.000000,360,390,410,420,500,650,690,700,720,720,720,150,0,350.0,382.15053420000913,250.83595199976116,716.7859569999564,0.0
1772119418,10,,Aggregated,12.300000,0.000000,360,390,410,420,490,630,690,700,720,720,720,164,0,360.0,381.6389664695313,250.83595199976116,716.7859569999564,0.0
1772119419,10,,Aggregated,13.700000,0.000000,350,380,410,410,480,630,690,700,720,720,720,178,0,350.0,376.78833117418566,250.83595199976116,716.7859569999564,0.0
1772119420,10,,Aggregated,14.300000,0.000000,350,380,400,410,470,610,690,700,720,720,720,193,0,350.0,374.6221562021088,250.83595199976116,716.7859569999564,0.0
1772119421,10,,Aggregated,13.800000,0.000000,350,370,400,410,470,590,680,690,720,720,720,207,0,350.0,371.8855760000292,250.83595199976116,716.7859569999564,0.0
1772119422,10,,Aggregated,14.100000,0.000000,350,380,410,420,490,640,680,690,720,720,720,218,0,350.0,377.94378357801486,250.83595199976116,716.7859569999564,0.0
1772119423,10,,Aggregated,13.700000,0.000000,360,390,410,430,510,650,680,690,720,720,720,231,0,360.0,385.3385554372648,250.83595199976116,716.7859569999564,0.0
1772119424,10,,Aggregated,13.700000,0.000000,360,390,410,430,500,640,680,690,720,720,720,246,0,360.0,382.86926290652974,250.83595199976116,716.7859569999564,0.0
1772119425,10,,Aggregated,13.900000,0.000000,350,380,410,420,500,630,680,690,720,720,720,261,0,350.0,380.3562289119022,250.83595199976116,716.7859569999564,0.0
1772119426,10,,Aggregated,13.700000,0.000000,350,370,400,420,500,630,680,690,720,720,720,277,0,350.0,377.3750063249407,250.83595199976116,716.7859569999564,0.0
